Messstelle Nr.,Messtelle,Messbeginn,Messende,Messstellezweck,Betreiber,Landkreis,Flussgebiet,Grundwasserkörper,Überschwemmungsgebiet,Wasserschutzgebiet,UTM-Rechtswert,UTM-Hochwert
400001387,Abbensen,,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hannover,Weser,Leine Lockergestein rechts,,,32541773,5824504
600001052,Abbenseth UE 129,2001,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Stade,Cuxhaven,Elbe/Labe,Oste Lockergestein links,,,32506075,5935649
700000830,Abbesbüttel,1991,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Gifhorn,Weser,Oker mesozoisches Festgestein rechts,,,32605682,5800367
900000979,Abickhafe-Anglerheim,1985,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Wittmund,Weser,Jade Lockergestein links,,,32428378,5927420
1100000460,Achmer,1986,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Cloppenburg,Osnabrück,Ems,Hase links Lockergestein,,,32427596,5804309
900000455,Achternholt,1973,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Brake-Oldenburg,Oldenburg,Weser,Hunte Lockergestein links,,,32442202,5878479
702570004,"Adenberg_Hochbehälter (Teufelst., Br. Stein)",1995,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Goslar,Weser,Oker  Harzpaläozoikum,,,32601686,5750306
700000868,Adenstedt-Süd I,1992,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Süd,Peine,Weser,Wietze/Fuhse Festgestein,,,32580010,5787819
700000870,Adenstedt-Süd II,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Peine,Weser,Wietze/Fuhse Festgestein,,,32580010,5787817
700000872,Adenstedt-Süd III,1992,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Süd,Peine,Weser,Wietze/Fuhse Festgestein,,,32580011,5787815
400000399,Aerzen,2006,2015,Grundwasserstands- und -gütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,Humme,Bad Pyrmont,32518312,5767480
400001390,Aerzen: Aerzen Brunnen 1,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,,Bad Pyrmont,32517582,5764299
400001389,Aerzen: Aerzen Brunnen 2,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,,Bad Pyrmont,32517619,5764150
400001388,Aerzen: Aerzen Brunnen 3,2009,2015,Grundwassergütemessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,,Bad Pyrmont,32517966,5764324
400000395,Aerzen-Altebg (alt),,,Grundwasserstandsmessstelle,NLWKN Betriebsstelle Hannover-Hildesheim,Hameln-Pyrmont,Weser,Nordlippische Trias-Gebiete,Humme,Bad Pyrmont,32518620,5767732
